Serving HTTP on 0.0.0.0 port 51521 (http://0.0.0.0:51521/) ...
172.17.0.1 - - [01/Aug/2025 10:55:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 10:55:38] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [01/Aug/2025 10:55:38] "GET /styles.css HTTP/1.1" 304 -
172.17.0.1 - - [01/Aug/2025 10:55:38] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [01/Aug/2025 10:56:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 10:57:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 10:58:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 10:59:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 10:59:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:00:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:00:10] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:00:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:00:40] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:01:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:01:20] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:01:32] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:01:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:02:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:02:10] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:02:20] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:02:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:02:50] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:03:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:03:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:03:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:03:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:03:51] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:04:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:04:21] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:04:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:04:49] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:05:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:05:10] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:05:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:05:40] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:06:01] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:06:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:06:21] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:06:31] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [01/Aug/2025 11:06:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2025 11:06:55] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [01/Aug/2025 11:06:55] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Aug/2025 11:06:55] "GET /script.js HTTP/1.1" 304 -
